PrjName;Filter;RecordNo;AgentId;AgentUserName;PhoneNo;Language;LtCallDt;LtCallWd;LtCallST;CallDurS;CallDurM;LtQuestF;CallCnt;LtCallR;WaveNo;Priority;DialingMode;ResCompleted;IntLevel;ResTimeZone;CallNotes;RestrictionOverride;ResTimeSlot;LtCaseR;CyclePhoneNumber;ManualDialing;LANG;NAME;INT01;N1;N2_1;RegionA;R1;SCREE;T1;X1;INT10;X2a;X2b;X3M1;X3M2;X3M3;X3M4;X3M5;X3M6;X3M7;X3M8;X3M9;X3M10;X4M1;X4M2;X4M3;X4M4;X4M5;X4M6;X4M7;X4M8;X4M9;X4M10;X5M1;X5M2;X5M3;X5M4;X5M5;X5M6;X5M7;X5M8;X5M9;X5M10;X6M1;X6M2;X6M3;X6M4;X6M5;X6M6;X6M7;X6M8;X6M9;X6M10;X7M1;X7M2;X7M3;X7M4;X7M5;X7M6;X7M7;X7M8;X7M9;X7M10;X8M1;X8M2;X8M3;X8M4;X8M5;X8M6;X8M7;X8M8;X8M9;X8M10;X9M1;X9M2;X9M3;X9M4;X9M5;X9M6;X9M7;X9M8;X9M9;X9M10;X10M1;X10M2;X10M3;X11_1;X11_2;X11_3;X11_4;X11_5;X11_6;X11_7;X11_8;X11_9;X11_10;X12;X13;X14;RAUS;BYE;VOLL;INT;SQ;F6;PR_CODE;REG;DISTR;SETTL;IMPOR;TEL1;TEL2;TEL3;LSURN;LNAME;TEL4;TEL5;LSURN2;LNAME2;TEL6;TEL7;LSURN3;LNAME3;TEL8;RESPONDENT;TEL9;NOTE;KORR;F7;QN1;QN2;QN3;QN4;QN5;F8;QN6;QN7;QN8;F11;CB
Grupa.1;1;1135;114;Agent.13;445384795;1;20210729;5;10:30:00;2021;34;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090206;;;185;101;;140;140;106;108;;;;;;;;;103;110;;;;;;;;;;;3;;;5;;3;;5;101;102;103;107;109;;;;;;102;103;104;107;109;110;;;;;5;5;3;2;5;4;4;4;5;1;3;1;3;;;;5;;4;;105;101;102;3;5;3;9;5;10;10;9;3;10;1969;104;104;;99;100;CO;;;293674;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa.1;1;1150;47;Agent.03;154573464;1;20210806;6;19:26:00;1714;29;462;5;CO;4;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090286;;;264;101;;30;0;108;105;;;;;;;;;101;102;103;104;105;106;108;;;;1;3;2;2;5;4;;3;;;101;102;103;104;106;107;108;;;;101;103;104;107;109;;;;;;1;4;3;4;5;5;1;4;3;2;5;3;4;2;;3;2;2;;;200;;;10;5;7;0;5;4;7;7;8;2;1978;103;101;;99;100;CO;;;779905;;;;;226676446;;;;;;;;;;;;;;;;;1;;auctor elit natoque neque libero maximus massa. in libero diam in adipiscing commodo quam quam. adipiscing elit. est. mi sus;;;;;;;;;;2,02E+11
Grupa.1;1;1151;53;Agent.06;647224818;1;20210729;5;14:57:00;1274;21;461;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090290;;;73;101;;250;275;999;;;;;;;;;;101;102;103;104;106;107;108;109;;;4;1;4;4;;4;1;3;4;;101;102;103;105;106;108;;;;;101;102;103;104;108;;;;;;5;999;5;4;2;5;1;2;2;1;5;5;5;;4;3;;4;;;101;104;103;6;9;4;4;4;9;2;9;9;2;1981;104;101;;99;100;CO;;;514197;;;;;821958511;;;;;;;;;;;;;;;;;1;;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, maximus;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, ma;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, ma;;;;;;;;2,02E+11
Grupa.1;1;1154;61;Agent.11;223966240;1;20210811;4;09:13:00;2361;39;462;37;CO;30;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32090305;;;7;101;;180;180;101;102;108;104;105;106;107;103;112;;;;;;;;;;;;4;3;3;999;1;3;3;3;;;101;102;103;104;105;106;108;;;;101;106;107;;;;;;;;5;4;2;5;4;5;4;4;3;2;5;2;2;5;5;1;;4;;;109;104;;9;3;5;9;6;99;6;10;10;10;1965;103;103;;99;100;CO;;;735152;;;;;;;;;;;;;;;;;;;;;;1;;vestibulum in laoreet commodo consequat dui. quam sit tortor scelerisque vestibulum In et In eleifend lobortis quam. orci Vi;vestibulum in laoreet commodo consequat dui. quam sit tortor scelerisque vestibulum In et In eleifend lobortis quam. o;;;;;;;;;2,02E+11
Grupa.1;1;1159;61;Agent.11;420669165;1;20210804;4;10:08:00;2505;42;462;4;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090327;;;45;101;;350;350;112;;;;;;;;;;103;110;;;;;;;;;;;1;;;;;;;4;101;102;103;104;105;107;108;;;;101;102;103;;;;;;;;5;5;5;5;3;1;5;3;4;5;3;2;2;1;1;;5;5;;;101;;;9;3;5;99;9;2;8;4;7;8;1977;104;102;;99;100;CO;;;658725;;;;;;;;;;;;;;;;;;;;;;1;;nibh et id, lacinia. orci eu venenatis. ornare eu posuere. massa. cursus vitae sed;;;;;;;;;;2,02E+11
Grupa.1;1;1167;53;Agent.06;72287895;1;20210729;5;10:46:00;1392;23;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090344;;;127;101;;25;25;108;102;101;;;;;;;;101;102;103;104;105;106;107;108;;;4;5;4;3;3;2;2;4;;;101;102;104;106;108;;;;;;101;102;103;105;107;108;;;;;3;3;3;1;4;4;5;4;1;5;2;4;;3;;5;;2;;;200;;;5;4;10;3;9;3;4;9;4;4;1992;103;102;;99;100;CO;;;806011;;;;;248388234;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa.1;1;1177;45;Agent.02;655863219;1;20210729;5;10:53:00;2370;40;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090401;;;168;101;;15;15;108;101;105;102;;;;;;;103;104;105;106;107;108;110;;;;3;2;3;3;4;4;3;2;;1;101;103;104;106;107;;;;;;101;102;103;105;106;109;;;;;5;5;3;5;5;2;4;2;1;5;1;;5;3;;3;4;;;;109;110;;9;4;3;7;7;99;9;6;9;9;1960;104;104;;99;100;CO;;;946472;;;;;294573368;;;;;;;;;;;;;;;;;1;;gravida enim consequat malesuada in aliquet, malesuada non vestibulum molestie aliquet, egestas sollicitudin ornare consecte;gravida enim consequat malesuada in aliquet, malesuada non vestibulum molestie aliquet, egestas sollicitudin ornare co;gravida enim consequat malesuada in aliquet, malesuada non vestibulum molestie aliquet, egestas sollicitudin ornare co;;;;;;;;
Grupa.1;1;1187;61;Agent.11;62818530;1;20210729;5;11:44:00;2200;37;461;3;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090422;;;52;101;;500;500;101;108;102;;;;;;;;103;106;107;;;;;;;;1;2;4;;;4;2;2;;;101;102;103;105;106;108;;;;;101;102;103;104;106;107;109;110;;;2;5;1;5;4;2;1;1;5;4;1;5;1;;5;4;;5;;;104;;;5;8;9;7;9;9;5;5;2;4;1972;103;104;;99;100;CO;;;395373;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa.1;1;1191;55;Agent.07;382565534;1;20210810;3;16:35:00;1519;25;462;6;CO;5;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090428;;;65;101;;7;7;999;;;;;;;;;;101;102;103;104;105;106;107;108;;;2;1;3;3;3;1;4;2;;;101;102;103;104;105;106;108;;;;102;103;104;105;107;;;;;;5;2;1;5;1;5;4;2;2;2;1;4;4;3;1;5;;4;;;107;110;;3;10;4;9;1;7;7;5;10;4;1956;102;101;;99;100;CO;;;619327;;;;;262799622;;;;;;;;;;;;;;;;;1;;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum Vivamus;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum V;penatibus sed nibh, metus convallis Aenean vel tortor sodales Vivamus sit aptent ad tincidunt vel, in et condimentum V;;;;;;;;2,02E+11
Grupa.1;1;1218;55;Agent.07;299736315;1;20210804;4;11:44:00;372;6;462;7;CO;4;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32090454;;;49;101;;41;41;111;;;;;;;;;;101;102;103;104;105;107;;;;;2;3;1;2;1;;2;;;;101;102;103;104;106;107;108;;;;101;102;103;106;108;;;;;;1;3;5;4;4;4;1;4;3;4;5;2;2;1;;4;5;5;;;109;103;102;9;0;7;9;7;4;8;9;3;1;1995;104;102;;99;100;CO;;;562696;;;;;;;;;;;;;;;;;;;;;;1;;sed eu libero sapien mi aliquet ornare Praesent nibh, per porttitor erat nec inceptos nascetur Suspendisse Fusce Class Proin;sed eu libero sapien mi aliquet ornare Praesent nibh, per porttitor erat nec inceptos nascetur Suspendisse Fusce Class;;;;;;;;;2,02E+11
